Name,step-1,step-2,step-3,step-4,step-5,step-6,step-7,step-8,step-9,step-10,step-11,step-12,step-13,step-14,step-15,step-16,step-17,step-18,step-19,step-20,step-21,step-22,step-23,step-24,step-25,step-26,step-27,step-28,step-29,step-30,step-31,step-32,step-33,step-34,step-35,step-36,step-37,step-38,step-39,step-40,step-41,step-42,step-43,step-44,step-45
Biryani,"In same skillet, cook chicken with its marinade with tomatoes for about 10 minutes over medium heat, uncovered","Put paste into large bowl, add yogurt and mix well",Reserve for garnish,Soak saffron in warm milk for 5 minutes and puree in blender,"heat oil over medium heat , add onion and fry","Return chicken and add raisins, cashews and almonds","Blend chiles, onions, ginger, garlic, cloves, peppercorns, cardamom seeds, cinnamon, coriander and cumin seeds, poppy seeds, nutmeg, mace, cilantro or mint leaves and lemon juice into smooth paste","Place chicken, eggs and rice in large serving dish in such a way that yellow of the eggs, the saffron-colored rice, the nuts and the chicken make a colorful display","Marinate chicken in yogurt mixture with salt, covered for at least 2 - 6 hours in refrigerator","Simmer, covered for 5 minutes","Add rice to sauce, bring to boil, and cook","Put paste into large bowl, add yogurt and mix well",Remove chicken pieces,Add reserved onion as garnish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carina's Tofu-Vegetable Kebabs,"Make the marinade by putting all ingredients in a  blender, and blend on high speed for about one minute until mixed","Drain the tofu, carefully squeezing out excess water,  and pat dry with paper towels",Cut tofu into one-inch squares,Wipe mushrooms clean with a moist paper towel and remove  stems,"Cut  eggplant lengthwise in half, then cut each half into approximately three strips",Continue in this way until  all skewers are full,Cut strips crosswise into one-inch cubes,"Refrigerate the kebabs for three to eight hours, occasionally spooning the  marinade over them",Slice zucchini into half-inch thick  slices,"Alternatively, put all ingredients in a glass jar, cover tightly with the lid  and shake well until mixed","Broil or grill the kebabs at 450 F for 15-20 minutes, or on the grill, until the vegetables are browned",Thread tofu and vegetables on to barbecue skewers in alternating color  combinations,"Lay the kebabs in a long, Evenly pour the marinade over the  kebabs, turning them once so that the tofu and vegetables are coated","Cut red pepper in half, removing stem and seeds, and cut each half into  one-inch squares",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabbage Soup,Refrigerate until cool,Mix everything together and bring to a boil,Reduce heat and simmer for 30 minutes,Serve chilled with sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warm Chicken A La King,Transfer to a serving dish and sprinkle with chopped parsley,"Add celery, mushrooms, pepper, chicken and  pimiento to the sauce and heat through","Melt 1 1/2 ozs butter, add the flour and cook for 2 to 3 minutes, stirring",Add to the chicken mixture and  heat through,"Melt the  remaining butter and saute sliced celery, button mushrooms and chopped pepper  until soft but not coloured","Gradually add milk and cook, stirring, until thick and smooth","Combine the egg  yolks, double cream and Worcestershire sauce",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Breasts Lombardi,set aside,"Cook mushrooms in 2 tbsp butter in a large  skillet, stirring constantly, just   until tender",Remove from heat,Stir in salt and pepper,Pour  sauce over  chicken,Reserve pan  drippings in skillet,Bake  uncovered at 450 for 12 to 14 minutes,Combine cheeses and green  onions,Repeat procedure with  remaining chicken and butter,sprinkle over chicken,"Add wine and  broth to , boil","baking dish,  overlapping  edges",Sprinkle  reserved mushrooms over chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betty Crocker's Southwestern Guacamole Dip,Add remaining ingredients and chill for 1 - 2 hours,Peel and mash avocados until lumpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low-Fat Burgundy Beef & Vegetable Stew,"Trim fat from beef, cut into 1-inch pieces",Reduce heat to medium and cook 3 to 4 minutes or until peas are heated through,Stir in sugar snap peas,"heat oil , Add beef",Bring beef stew to a boil over medium-high heat,Add carrots and onions,"Stir in broth, wine and garlic",Cover and continue cooking 35 to 40 minutes or until beef and vegetables are tender,"Season with thyme, salt and pepper",Pour off drippings,cook and stir 1 minute,Add cornstarch mixture,Cover tightly and simmer 1 1/2 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lou's Fabulous Bruschetta,"Butter and then sprinkle garlic powder each piece, and bake till lightly golden brown",Cut baguette into slices,"Spread the ricotta mixture, generously on the cooled garlic bread slices","Mix garlic powder, Parmesan cheese, and salt in the ricotta cheese, till a lovely blended taste",Top with tomato mixture and bake at 350F for 10 minutes,"Dice tomatoes in small cubes,   add Olive Oil, and  small strips of fresh basil leaves, cut into thin strips",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Coffee Barbecue Sauce,"Cool, then puree in a blender or food processor until smooth",Combine all ingredients in a saucepan and simmer over low heat for 20  minutes,This can be stored in the refrigerator for up to 2 weeks in a covered  container,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfredo Sauce,Place butter in microwave safe pot and heat on high for 30 seconds or until melted,Add cream and warm on high for approximately 1 minute,Pour over 4 servings of warm noodles and toss to coat,Add salt and pepper to taste,Add Parmesan cheese and warm until cheese melts,Serve immediately,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazilian Empadinhas,Make small balls with the rest of the dough,DOUGH Cut butter into salt and flour,Brush tops with egg yolk Bake in preheated 350 F oven for 30 to  35 minutes or until golden brown,Stir in rest of the ingredients and knead to  combine or just process everything until it forms a ball,"Cook 1 hour, uncovered over low heat","tomatoes, broth  , seasonings ,shrimp and cook","SHRIMP FILLING Clean and devein shrimp, saving heads and shells","Let rest covered 1  hour Make balls the size of a walnut, from 2/3  of the dough and line small  muffin tins with the dough",Let cool before using,Flatten them to make lids for the mini pies,of the cold filling into the lined  tins,Make a broth with the shells  and heads and 2 cups water,Add bell pepper,Strain broth  and cook it down to 1/2 cup,Stir until thick,Add parsley,Cook onions and garlic in olive oil until they  start changing color,Place 2 tsp,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braised Brussels Sprouts With Vinegar and Dill,Trim sprouts,"In well-greased 13x9-inch casserole, combine sprouts, dill, vinegar, and salt and pepper to taste",mix well,"Bake, covered, in 350°F oven for 10 minutes","Drain, refresh under cold running water and drain again","In large pot of boiling salted water, cook Brussels sprouts for 8 minutes if whole, 6 minutes if halved, or until barely tender",Uncover and bake for 5 minutes longer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheesy Scalloped Potato Side Dish,"Layer potatoes, flour, milk, and salt and pepper (if desired) in a large casserole dish in several layers, then top with cheeses and paprika",All cooking times are approximate,"Cook on high about 5 hours, until potatoes are tender",Preparation time allows for peeling and slicing potatoes,Bake at 350°F for 1 1/2 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheeseburger Casserole,Add onion and brown,Bake for 10-15 minutes longer,Pour into 1 1/2-quart casserole dish,Bake for 10 minutes at 425°F,Combine ground beef and flour in skillet,"Add tomato sauce, ketchup, salt and pepper",Top with cheese and biscuits,Pour off drippings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
