Name,step-1,step-2,step-3,step-4,step-5,step-6,step-7,step-8,step-9,step-10,step-11,step-12,step-13,step-14,step-15,step-16,step-17,step-18,step-19,step-20,step-21,step-22,step-23,step-24,step-25,step-26,step-27,step-28,step-29,step-30,step-31,step-32,step-33,step-34,step-35,step-36,step-37,step-38,step-39,step-40,step-41,step-42,step-43,step-44,step-45
Biryani,boil gently until chicken is cooked through and sauce is thick (about 3 minutes),set aside,Reserve for garnish,Bake in preheated 400 F oven for 10 minutes on each side or until fish is flaky (DO NOT OVERCOOK),Coat grill rack with cooking spray,"Return chicken and add raisins, cashews and almonds","Blend chiles, onions, ginger, garlic, cloves, peppercorns, cardamom seeds, cinnamon, coriander and cumin seeds, poppy seeds, nutmeg, mace, cilantro or mint leaves and lemon juice into smooth paste","Place chicken, eggs and rice in large serving dish in such a way that yellow of the eggs, the saffron-colored rice, the nuts and the chicken make a colorful display","Marinate chicken in yogurt mixture with salt, covered for at least 2 - 6 hours in refrigerator","Add milk, a little at a time, beating till smooth and creamy","Add rice to sauce, bring to boil, and cook",Combine all ingredients in the order given,"In large, heavy pot, saute bacon, onions and celery over medium-high heat until celery is tender",Add reserved onion as garnish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carina's Tofu-Vegetable Kebabs,"Make the marinade by putting all ingredients in a  blender, and blend on high speed for about one minute until mixed","Add the onion and cook for 8-10 minutes, or until almost soft",Cut tofu into one-inch squares,Wipe mushrooms clean with a moist paper towel and remove  stems,Bake for 13-15 minutes until golden brown,Continue in this way until  all skewers are full,Cut strips crosswise into one-inch cubes,Debone chicken pieces and pull apart using hands making small pieces of chicken,Reduce heat and simmer for 2 minutes,Discard bay leaf,"Broil or grill the kebabs at 450 F for 15-20 minutes, or on the grill, until the vegetables are browned",for 45 minutes,"Lay the kebabs in a long, Evenly pour the marinade over the  kebabs, turning them once so that the tofu and vegetables are coated","Brush the tops of the phyllo with butter and roast until crisp, browned, and cooked through, 25 to 30 minutes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabbage Soup,Refrigerate until cool,If preferred the barbeque can be used instead of the broiler,"Add peppers, celery, onion and garlic and saute until tender, around 5 minutes",Serve chilled with sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warm Chicken A La King,Transfer to a serving dish and sprinkle with chopped parsley,"In large bowl, combine remaining ingredients (except reserved crumb mixture) and mix well","Melt 1 1/2 ozs butter, add the flour and cook for 2 to 3 minutes, stirring",Add to the chicken mixture and  heat through,"If the mixture is too liquid, stir in some of the tortilla flour paste to thicken","Gradually add milk and cook, stirring, until thick and smooth",Turn into the casserole dish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Breasts Lombardi,set aside,While potatoes are cooking,Remove from heat,"Combine egg, brown sugar, vanilla and nuts",Pour  sauce over  chicken,Lightly coat potatoes with oil and bake for 1 hour or until tender,"Peel and slice the onion into rings, as thinly as possible",Mix seasonings together and coat chops,Repeat procedure with  remaining chicken and butter,sprinkle over chicken,Use medium heat for about 3-5 minutes on each side or until they look nicely cooked,"baking dish,  overlapping  edges",Sprinkle  reserved mushrooms over chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betty Crocker's Southwestern Guacamole Dip,Simmer and stir about 5 minutes,Peel and mash avocados until lumpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low-Fat Burgundy Beef & Vegetable Stew,"Trim fat from beef, cut into 1-inch pieces",Reduce heat to medium and cook 3 to 4 minutes or until peas are heated through,Stir in sugar snap peas,Add 2 cups of water,Bring beef stew to a boil over medium-high heat,Add carrots and onions,Heat the cassorole dish & grease it,Serve garnished with a dash of Old Bay and parsley flakes,Blend salsa in blender and pour 1/2 cup on bottom of a greased 9x13-inch baking dish,Pour off drippings,30 - 45 minutes (I used and 8\,Add cornstarch mixture,"Blend soup, milk and cheese",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lou's Fabulous Bruschetta,Add soup and stir,Preheat oven to 400°F,"Spread the ricotta mixture, generously on the cooled garlic bread slices","Mix garlic powder, Parmesan cheese, and salt in the ricotta cheese, till a lovely blended taste",Top with tomato mixture and bake at 350F for 10 minutes,"Grease a 9 x 13 baking dish, or spray with cooking spray",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Coffee Barbecue Sauce,"Blend butter and sugar, then beat in egg and vanilla until mixture is light and fluffy",Combine all ingredients in a saucepan and simmer over low heat for 20  minutes,This can be stored in the refrigerator for up to 2 weeks in a covered  container,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfredo Sauce,Add egg mixture,Add cream and warm on high for approximately 1 minute,"Mix together in a small bowl:  parsley, red onion, garlic, 1 Tbsp salt,  1 tsp black pepper,  2 Tbsp olive oil",Add salt and pepper to taste,Preheat oven to 325* and grease bottom only of two 9 x 5 bread pans,Serve immediately,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
